iter,param,Coef,modelType,DV,SurveyLabel,qGroup
116,Intercept,-1.7001466610936882,nbinom,Serious Infection,Intercept,Other
117,Intercept,-1.6486907292254842,nbinom,Serious Infection,Intercept,Other
118,Intercept,-0.9752864178013764,nbinom,Serious Infection,Intercept,Other
119,Intercept,-1.4381045389834886,nbinom,Serious Infection,Intercept,Other
120,Intercept,-1.419877625368308,nbinom,Serious Infection,Intercept,Other
121,Intercept,-1.9950392437576292,nbinom,Serious Infection,Intercept,Other
122,Intercept,-1.838630932760864,nbinom,Serious Infection,Intercept,Other
123,Intercept,-1.7662703146634644,nbinom,Serious Infection,Intercept,Other
124,Intercept,-2.039567714594723,nbinom,Serious Infection,Intercept,Other
125,Intercept,-1.166413331124153,nbinom,Serious Infection,Intercept,Other
126,Intercept,-2.071106384205737,nbinom,Serious Infection,Intercept,Other
127,Intercept,-1.1043046977173403,nbinom,Serious Infection,Intercept,Other
128,Intercept,-0.9616011001867608,nbinom,Serious Infection,Intercept,Other
129,Intercept,-1.5530472518276284,nbinom,Serious Infection,Intercept,Other
130,Intercept,-0.6324289807439987,nbinom,Serious Infection,Intercept,Other
131,Intercept,-0.7502861083588606,nbinom,Serious Infection,Intercept,Other
132,Intercept,-1.0127164709630816,nbinom,Serious Infection,Intercept,Other
133,Intercept,-1.430585377688682,nbinom,Serious Infection,Intercept,Other
134,Intercept,-1.0753131681848012,nbinom,Serious Infection,Intercept,Other
135,Intercept,-1.2000557457566936,nbinom,Serious Infection,Intercept,Other
136,Intercept,-1.37923226619791,nbinom,Serious Infection,Intercept,Other
137,Intercept,-1.5155626831825233,nbinom,Serious Infection,Intercept,Other
138,Intercept,-1.2646482527514258,nbinom,Serious Infection,Intercept,Other
139,Intercept,-1.6847600816398016,nbinom,Serious Infection,Intercept,Other
140,Intercept,-1.6193340979787545,nbinom,Serious Infection,Intercept,Other
141,Intercept,-1.390279234973279,nbinom,Serious Infection,Intercept,Other
142,Intercept,-1.2908883861602791,nbinom,Serious Infection,Intercept,Other
143,Intercept,-1.33266348985119,nbinom,Serious Infection,Intercept,Other
144,Intercept,-1.1738619149184042,nbinom,Serious Infection,Intercept,Other
145,Intercept,-1.5016304273261252,nbinom,Serious Infection,Intercept,Other
146,Intercept,-2.1124043998864144,nbinom,Serious Infection,Intercept,Other
147,Intercept,-0.3357080095001521,nbinom,Serious Infection,Intercept,Other
148,Intercept,-0.8142740097898753,nbinom,Serious Infection,Intercept,Other
149,Intercept,-1.073546689599338,nbinom,Serious Infection,Intercept,Other
150,Intercept,-1.6191538812432462,nbinom,Serious Infection,Intercept,Other
151,Intercept,-1.2613344729123577,nbinom,Serious Infection,Intercept,Other
152,Intercept,-2.048684543413633,nbinom,Serious Infection,Intercept,Other
153,Intercept,-1.831544083459935,nbinom,Serious Infection,Intercept,Other
154,Intercept,-2.018229447926634,nbinom,Serious Infection,Intercept,Other
155,Intercept,-2.481147318841092,nbinom,Serious Infection,Intercept,Other
156,Intercept,-1.7882844687385675,nbinom,Serious Infection,Intercept,Other
157,Intercept,-1.6175914611337157,nbinom,Serious Infection,Intercept,Other
158,Intercept,-2.2136907205832537,nbinom,Serious Infection,Intercept,Other
159,Intercept,-1.856489185726014,nbinom,Serious Infection,Intercept,Other
160,Intercept,-0.9255773245371376,nbinom,Serious Infection,Intercept,Other
161,Intercept,-1.4222728271459613,nbinom,Serious Infection,Intercept,Other
162,Intercept,-1.444095555440914,nbinom,Serious Infection,Intercept,Other
163,Intercept,-1.7009177578533323,nbinom,Serious Infection,Intercept,Other
164,Intercept,-1.262673921025593,nbinom,Serious Infection,Intercept,Other
165,Intercept,-1.3052596285017728,nbinom,Serious Infection,Intercept,Other
166,Intercept,-1.4084304904738436,nbinom,Serious Infection,Intercept,Other
167,Intercept,-2.3587623897674272,nbinom,Serious Infection,Intercept,Other
168,Intercept,-1.0781370693808427,nbinom,Serious Infection,Intercept,Other
169,Intercept,-1.370180278001771,nbinom,Serious Infection,Intercept,Other
170,Intercept,-1.5378777776895831,nbinom,Serious Infection,Intercept,Other
171,Intercept,-1.2929742014897696,nbinom,Serious Infection,Intercept,Other
172,Intercept,-1.588606728373094,nbinom,Serious Infection,Intercept,Other
173,Intercept,-1.9011718012200285,nbinom,Serious Infection,Intercept,Other
174,Intercept,-1.9950859830116503,nbinom,Serious Infection,Intercept,Other
175,Intercept,-1.8198356536548632,nbinom,Serious Infection,Intercept,Other
176,Intercept,-1.694980744779072,nbinom,Serious Infection,Intercept,Other
177,Intercept,-1.7426858395313878,nbinom,Serious Infection,Intercept,Other
178,Intercept,-1.4547643189684552,nbinom,Serious Infection,Intercept,Other
179,Intercept,-1.3921342970231645,nbinom,Serious Infection,Intercept,Other
180,Intercept,-1.297316470101972,nbinom,Serious Infection,Intercept,Other
181,Intercept,-2.0711311572615743,nbinom,Serious Infection,Intercept,Other
182,Intercept,-0.7222815784805796,nbinom,Serious Infection,Intercept,Other
183,Intercept,-1.660203568883421,nbinom,Serious Infection,Intercept,Other
184,Intercept,-1.5741902745264085,nbinom,Serious Infection,Intercept,Other
185,Intercept,-1.8958591375533551,nbinom,Serious Infection,Intercept,Other
186,Intercept,-1.742253083575101,nbinom,Serious Infection,Intercept,Other
187,Intercept,-0.9182715688130472,nbinom,Serious Infection,Intercept,Other
188,Intercept,-0.9763174503755389,nbinom,Serious Infection,Intercept,Other
189,Intercept,-1.6413546044290324,nbinom,Serious Infection,Intercept,Other
190,Intercept,-1.9366915100845856,nbinom,Serious Infection,Intercept,Other
191,Intercept,-1.9430923885518423,nbinom,Serious Infection,Intercept,Other
192,Intercept,-1.312385483225798,nbinom,Serious Infection,Intercept,Other
193,Intercept,-1.5281378335239502,nbinom,Serious Infection,Intercept,Other
194,Intercept,-1.9264887993701392,nbinom,Serious Infection,Intercept,Other
195,Intercept,-1.7228814845129812,nbinom,Serious Infection,Intercept,Other
196,Intercept,-2.020865282203753,nbinom,Serious Infection,Intercept,Other
197,Intercept,-1.2992161520595715,nbinom,Serious Infection,Intercept,Other
198,Intercept,-0.7748735399375777,nbinom,Serious Infection,Intercept,Other
199,Intercept,-1.7740779128617588,nbinom,Serious Infection,Intercept,Other
200,Intercept,-1.3723968128004378,nbinom,Serious Infection,Intercept,Other
201,Intercept,-1.2864731819164472,nbinom,Serious Infection,Intercept,Other
202,Intercept,-1.803962838277968,nbinom,Serious Infection,Intercept,Other
203,Intercept,-1.4797762767058529,nbinom,Serious Infection,Intercept,Other
204,Intercept,-1.3146224457130635,nbinom,Serious Infection,Intercept,Other
205,Intercept,-1.2845110682022944,nbinom,Serious Infection,Intercept,Other
206,Intercept,-2.092287938225041,nbinom,Serious Infection,Intercept,Other
207,Intercept,-1.5299540264500604,nbinom,Serious Infection,Intercept,Other
208,Intercept,-1.2771263446452965,nbinom,Serious Infection,Intercept,Other
209,Intercept,-1.586388879806424,nbinom,Serious Infection,Intercept,Other
210,Intercept,-1.4918099393908617,nbinom,Serious Infection,Intercept,Other
211,Intercept,-1.7305215831988685,nbinom,Serious Infection,Intercept,Other
212,Intercept,-2.2714631151617883,nbinom,Serious Infection,Intercept,Other
213,Intercept,-1.330693247170173,nbinom,Serious Infection,Intercept,Other
214,Intercept,-1.703544493349033,nbinom,Serious Infection,Intercept,Other
215,Intercept,-1.5932892822219669,nbinom,Serious Infection,Intercept,Other
216,Intercept,-1.8448486901430181,nbinom,Serious Infection,Intercept,Other
217,Intercept,-1.8057502970682655,nbinom,Serious Infection,Intercept,Other
218,Intercept,-1.773906642496952,nbinom,Serious Infection,Intercept,Other
219,Intercept,-2.075709084439037,nbinom,Serious Infection,Intercept,Other
220,Intercept,-1.5480646582180135,nbinom,Serious Infection,Intercept,Other
221,Intercept,-0.9392716107504429,nbinom,Serious Infection,Intercept,Other
222,Intercept,-2.069014848779471,nbinom,Serious Infection,Intercept,Other
223,Intercept,-1.3711926072039735,nbinom,Serious Infection,Intercept,Other
224,Intercept,-1.3811331827305078,nbinom,Serious Infection,Intercept,Other
225,Intercept,-1.51777957056568,nbinom,Serious Infection,Intercept,Other
226,Intercept,-1.552186479401526,nbinom,Serious Infection,Intercept,Other
227,Intercept,-1.9783428400899972,nbinom,Serious Infection,Intercept,Other
228,Intercept,-1.80836125105472,nbinom,Serious Infection,Intercept,Other
229,Intercept,-1.0250672759536736,nbinom,Serious Infection,Intercept,Other
230,Intercept,-1.2099287987225478,nbinom,Serious Infection,Intercept,Other
231,Intercept,-1.83437076901032,nbinom,Serious Infection,Intercept,Other
232,Intercept,-2.477246881979519,nbinom,Serious Infection,Intercept,Other
233,Intercept,-1.839252989575124,nbinom,Serious Infection,Intercept,Other
234,Intercept,-1.6457819211859832,nbinom,Serious Infection,Intercept,Other
235,Intercept,-1.014211936406246,nbinom,Serious Infection,Intercept,Other
236,Intercept,-1.7201655249465986,nbinom,Serious Infection,Intercept,Other
237,Intercept,-1.5756867873505267,nbinom,Serious Infection,Intercept,Other
238,Intercept,-1.4295194976203875,nbinom,Serious Infection,Intercept,Other
239,Intercept,-1.5451665173803664,nbinom,Serious Infection,Intercept,Other
240,Intercept,-1.1311395221058858,nbinom,Serious Infection,Intercept,Other
241,Intercept,-1.4897966113605827,nbinom,Serious Infection,Intercept,Other
242,Intercept,-1.1468975188973405,nbinom,Serious Infection,Intercept,Other
243,Intercept,-1.3330571063986216,nbinom,Serious Infection,Intercept,Other
244,Intercept,-1.2217256058686226,nbinom,Serious Infection,Intercept,Other
245,Intercept,-1.0758410916938212,nbinom,Serious Infection,Intercept,Other
246,Intercept,-1.3395342993665769,nbinom,Serious Infection,Intercept,Other
247,Intercept,-1.6981754703229808,nbinom,Serious Infection,Intercept,Other
248,Intercept,-1.7673967578192047,nbinom,Serious Infection,Intercept,Other
249,Intercept,-1.8462196180161647,nbinom,Serious Infection,Intercept,Other
250,Intercept,-1.5482479734564771,nbinom,Serious Infection,Intercept,Other
251,Intercept,-2.0338186239816305,nbinom,Serious Infection,Intercept,Other
252,Intercept,-1.6942849049359818,nbinom,Serious Infection,Intercept,Other
253,Intercept,-1.815745879359764,nbinom,Serious Infection,Intercept,Other
254,Intercept,-2.204626805051588,nbinom,Serious Infection,Intercept,Other
255,Intercept,-2.2611589306749775,nbinom,Serious Infection,Intercept,Other
256,Intercept,-1.721543075878118,nbinom,Serious Infection,Intercept,Other
257,Intercept,-1.9772891537718071,nbinom,Serious Infection,Intercept,Other
258,Intercept,-1.8188809032128963,nbinom,Serious Infection,Intercept,Other
259,Intercept,-1.0136998073683237,nbinom,Serious Infection,Intercept,Other
260,Intercept,-1.5713879324491833,nbinom,Serious Infection,Intercept,Other
261,Intercept,-1.5578581804985423,nbinom,Serious Infection,Intercept,Other
262,Intercept,-1.3109312909804949,nbinom,Serious Infection,Intercept,Other
263,Intercept,-1.4324016347963349,nbinom,Serious Infection,Intercept,Other
264,Intercept,-1.5791413026691972,nbinom,Serious Infection,Intercept,Other
265,Intercept,-1.4227401322912645,nbinom,Serious Infection,Intercept,Other
266,Intercept,-0.8278274183851821,nbinom,Serious Infection,Intercept,Other
267,Intercept,-1.037360705929037,nbinom,Serious Infection,Intercept,Other
268,Intercept,-1.5316271728332125,nbinom,Serious Infection,Intercept,Other
269,Intercept,-1.7364058673008744,nbinom,Serious Infection,Intercept,Other
270,Intercept,-2.0482912249410843,nbinom,Serious Infection,Intercept,Other
271,Intercept,-2.0177779301435788,nbinom,Serious Infection,Intercept,Other
272,Intercept,-2.133190281498381,nbinom,Serious Infection,Intercept,Other
273,Intercept,-1.4262442007598335,nbinom,Serious Infection,Intercept,Other
274,Intercept,-1.40955987280782,nbinom,Serious Infection,Intercept,Other
275,Intercept,-1.2121204625017803,nbinom,Serious Infection,Intercept,Other
276,Intercept,-1.7868304732640483,nbinom,Serious Infection,Intercept,Other
277,Intercept,-0.6330396953674442,nbinom,Serious Infection,Intercept,Other
278,Intercept,-2.5849866872511846,nbinom,Serious Infection,Intercept,Other
279,Intercept,-1.8875916735907323,nbinom,Serious Infection,Intercept,Other
280,Intercept,-2.2625690944572714,nbinom,Serious Infection,Intercept,Other
281,Intercept,-2.0374084652905116,nbinom,Serious Infection,Intercept,Other
282,Intercept,-1.2480581454342412,nbinom,Serious Infection,Intercept,Other
283,Intercept,-1.8839827551983468,nbinom,Serious Infection,Intercept,Other
284,Intercept,-2.007280274422323,nbinom,Serious Infection,Intercept,Other
285,Intercept,-1.5203434318467537,nbinom,Serious Infection,Intercept,Other
286,Intercept,-1.872430613944578,nbinom,Serious Infection,Intercept,Other
287,Intercept,-2.0250467051806726,nbinom,Serious Infection,Intercept,Other
288,Intercept,-1.816700575631912,nbinom,Serious Infection,Intercept,Other
289,Intercept,-2.063693150188808,nbinom,Serious Infection,Intercept,Other
290,Intercept,-2.3827707872019332,nbinom,Serious Infection,Intercept,Other
291,Intercept,-2.0931318137404675,nbinom,Serious Infection,Intercept,Other
292,Intercept,-1.572886334831872,nbinom,Serious Infection,Intercept,Other
293,Intercept,-1.3573696064885767,nbinom,Serious Infection,Intercept,Other
294,Intercept,-1.4701765419457908,nbinom,Serious Infection,Intercept,Other
295,Intercept,-1.3880920144713067,nbinom,Serious Infection,Intercept,Other
296,Intercept,-1.2782750496541306,nbinom,Serious Infection,Intercept,Other
297,Intercept,-1.618787623045479,nbinom,Serious Infection,Intercept,Other
298,Intercept,-1.5715465432474844,nbinom,Serious Infection,Intercept,Other
299,Intercept,-1.5135327009529465,nbinom,Serious Infection,Intercept,Other
300,Intercept,-1.3187191073437354,nbinom,Serious Infection,Intercept,Other
301,Intercept,-1.2454476006431547,nbinom,Serious Infection,Intercept,Other
302,Intercept,-1.6299742344495172,nbinom,Serious Infection,Intercept,Other
303,Intercept,-1.6805874044982478,nbinom,Serious Infection,Intercept,Other
304,Intercept,-1.3339793890579854,nbinom,Serious Infection,Intercept,Other
305,Intercept,-1.446674771144845,nbinom,Serious Infection,Intercept,Other
306,Intercept,-1.7102230726226868,nbinom,Serious Infection,Intercept,Other
307,Intercept,-2.216414849833987,nbinom,Serious Infection,Intercept,Other
308,Intercept,-2.386058289063683,nbinom,Serious Infection,Intercept,Other
309,Intercept,-2.2557687153368766,nbinom,Serious Infection,Intercept,Other
310,Intercept,-2.289210794394187,nbinom,Serious Infection,Intercept,Other
311,Intercept,-0.9742752161287616,nbinom,Serious Infection,Intercept,Other
312,Intercept,-1.2814004114087347,nbinom,Serious Infection,Intercept,Other
313,Intercept,-1.4046126736483788,nbinom,Serious Infection,Intercept,Other
314,Intercept,-1.178503890291767,nbinom,Serious Infection,Intercept,Other
315,Intercept,-1.3649933179568632,nbinom,Serious Infection,Intercept,Other
316,Intercept,-1.3500064190664718,nbinom,Serious Infection,Intercept,Other
317,Intercept,-1.9795940209898797,nbinom,Serious Infection,Intercept,Other
318,Intercept,-1.8593529059945015,nbinom,Serious Infection,Intercept,Other
319,Intercept,-1.254615032834007,nbinom,Serious Infection,Intercept,Other
320,Intercept,-1.1898346692913162,nbinom,Serious Infection,Intercept,Other
321,Intercept,-1.4527721237588107,nbinom,Serious Infection,Intercept,Other
322,Intercept,-1.259986385770779,nbinom,Serious Infection,Intercept,Other
323,Intercept,-1.0846340979640825,nbinom,Serious Infection,Intercept,Other
324,Intercept,-1.7366337141958403,nbinom,Serious Infection,Intercept,Other
325,Intercept,-1.5665585505045838,nbinom,Serious Infection,Intercept,Other
326,Intercept,-1.448433219574188,nbinom,Serious Infection,Intercept,Other
327,Intercept,-1.571237820179745,nbinom,Serious Infection,Intercept,Other
328,Intercept,-1.4578007069328662,nbinom,Serious Infection,Intercept,Other
329,Intercept,-1.786783873208703,nbinom,Serious Infection,Intercept,Other
330,Intercept,-1.428012764610578,nbinom,Serious Infection,Intercept,Other
331,Intercept,-1.3876577327572737,nbinom,Serious Infection,Intercept,Other
332,Intercept,-2.441287952232754,nbinom,Serious Infection,Intercept,Other
333,Intercept,-2.249867615211981,nbinom,Serious Infection,Intercept,Other
334,Intercept,-1.95756357878974,nbinom,Serious Infection,Intercept,Other
335,Intercept,-2.118258554172576,nbinom,Serious Infection,Intercept,Other
336,Intercept,-1.782670829304767,nbinom,Serious Infection,Intercept,Other
337,Intercept,-2.3448550062224873,nbinom,Serious Infection,Intercept,Other
338,Intercept,-1.3290671461582322,nbinom,Serious Infection,Intercept,Other
339,Intercept,-0.6707548052626342,nbinom,Serious Infection,Intercept,Other
340,Intercept,-0.6000414375843788,nbinom,Serious Infection,Intercept,Other
341,Intercept,-1.7204712610711153,nbinom,Serious Infection,Intercept,Other
342,Intercept,-0.9843901741474494,nbinom,Serious Infection,Intercept,Other
343,Intercept,-1.3245095996686485,nbinom,Serious Infection,Intercept,Other
344,Intercept,-1.2781597712710235,nbinom,Serious Infection,Intercept,Other
345,Intercept,-1.626791112650714,nbinom,Serious Infection,Intercept,Other
346,Intercept,-0.8124555255605432,nbinom,Serious Infection,Intercept,Other
347,Intercept,-1.84301930190616,nbinom,Serious Infection,Intercept,Other
348,Intercept,-2.012065947722146,nbinom,Serious Infection,Intercept,Other
349,Intercept,-1.5262001341467035,nbinom,Serious Infection,Intercept,Other
350,Intercept,-2.134761410814887,nbinom,Serious Infection,Intercept,Other
351,Intercept,-1.2240913246816691,nbinom,Serious Infection,Intercept,Other
352,Intercept,-1.4880352020137133,nbinom,Serious Infection,Intercept,Other
353,Intercept,-1.7576816364992336,nbinom,Serious Infection,Intercept,Other
354,Intercept,-1.7791373816012532,nbinom,Serious Infection,Intercept,Other
355,Intercept,-1.9611781893939897,nbinom,Serious Infection,Intercept,Other
356,Intercept,-1.174086459500561,nbinom,Serious Infection,Intercept,Other
357,Intercept,-1.273674427856807,nbinom,Serious Infection,Intercept,Other
358,Intercept,-1.8077331400920005,nbinom,Serious Infection,Intercept,Other
359,Intercept,-1.644833211751211,nbinom,Serious Infection,Intercept,Other
360,Intercept,-1.8248229747724336,nbinom,Serious Infection,Intercept,Other
361,Intercept,-2.902922862642958,nbinom,Serious Infection,Intercept,Other
362,Intercept,-2.356490111364243,nbinom,Serious Infection,Intercept,Other
363,Intercept,-1.9607738277500848,nbinom,Serious Infection,Intercept,Other
364,Intercept,-1.9029433958567816,nbinom,Serious Infection,Intercept,Other
365,Intercept,-2.135788306708263,nbinom,Serious Infection,Intercept,Other
366,Intercept,-1.7395334735565644,nbinom,Serious Infection,Intercept,Other
367,Intercept,-1.2706818110125524,nbinom,Serious Infection,Intercept,Other
368,Intercept,-0.8824440061139222,nbinom,Serious Infection,Intercept,Other
369,Intercept,-1.6979731131042346,nbinom,Serious Infection,Intercept,Other
370,Intercept,-1.1236998119772643,nbinom,Serious Infection,Intercept,Other
371,Intercept,-1.1978175826872408,nbinom,Serious Infection,Intercept,Other
372,Intercept,-1.3496361766537148,nbinom,Serious Infection,Intercept,Other
373,Intercept,-1.4595850793940963,nbinom,Serious Infection,Intercept,Other
374,Intercept,-1.4583406374619696,nbinom,Serious Infection,Intercept,Other
375,Intercept,-1.5557193384212484,nbinom,Serious Infection,Intercept,Other
376,Intercept,-1.2263327984168968,nbinom,Serious Infection,Intercept,Other
377,Intercept,-1.3449188630591462,nbinom,Serious Infection,Intercept,Other
378,Intercept,-2.375913584489439,nbinom,Serious Infection,Intercept,Other
379,Intercept,-2.3268578913859503,nbinom,Serious Infection,Intercept,Other
